source_table,source_field,source_value_example,keep_indicator,model_table,model_field_name,comments
r_ks2,PTMAT_EXP_NotFSM6CLA1A,78%,Reject,,,
r_ks2,PTWRITTA_EXP_L,13%,Reject,,,
r_ks2,PTWRITTA_EXP_M,85%,Reject,,,
r_ks2,PTWRITTA_EXP_H,100%,Reject,,,
r_ks2,PTWRITTA_EXP_FSM6CLA1A,76%,Reject,,,
r_ks2,PTWRITTA_EXP_NotFSM6CLA1A,87%,Reject,,,
r_ks2,PTREAD_HIGH_L,0%,Reject,,,
r_ks2,PTREAD_HIGH_M,22%,Reject,,,
r_ks2,PTREAD_HIGH_H,80%,Reject,,,
r_ks2,PTREAD_HIGH_FSM6CLA1A,35%,Reject,,,
r_ks2,PTREAD_HIGH_NotFSM6CLA1A,43%,Reject,,,
r_ks2,PTGPS_HIGH_L,0%,Reject,,,
r_ks2,PTGPS_HIGH_M,17%,Reject,,,
r_ks2,PTGPS_HIGH_H,58%,Reject,,,
r_ks2,PTGPS_HIGH_FSM6CLA1A,12%,Reject,,,
r_ks2,PTGPS_HIGH_NotFSM6CLA1A,35%,Reject,,,
r_ks2,PTMAT_HIGH_L,0%,Reject,,,
r_ks2,PTMAT_HIGH_M,13%,Reject,,,
r_ks2,PTMAT_HIGH_H,55%,Reject,,,
r_ks2,PTMAT_HIGH_FSM6CLA1A,12%,Reject,,,
r_ks2,PTMAT_HIGH_NotFSM6CLA1A,32%,Reject,,,
r_ks2,PTWRITTA_HIGH_L,0%,Reject,,,
r_ks2,PTWRITTA_HIGH_M,15%,Reject,,,
r_ks2,PTWRITTA_HIGH_H,80%,Reject,,,
r_ks2,PTWRITTA_HIGH_FSM6CLA1A,24%,Reject,,,
r_ks2,PTWRITTA_HIGH_NotFSM6CLA1A,41%,Reject,,,
r_ks2,TEALGRP1,101,Reject,,,
r_ks2,PTEALGRP1,93%,Reject,,,
r_ks2,TEALGRP3,0,Reject,,,
r_ks2,PTEALGRP3,0%,Reject,,,
r_ks2,TSENELAPK,11,Reject,,,
r_ks2,PSENELSAPK,10%,Reject,,,
r_ks2,TSENELE,4,Reject,,,
r_ks2,PSENELE,4%,Reject,,,
r_ks2,TSENELK,11,Reject,,,
r_ks2,PSENELK,10%,Reject,,,
r_ks2,TSENELST,0,Reject,,,
r_ks2,PSENELST,0%,Reject,,,
r_ks2,TSENELSAP,0,Reject,,,
r_ks2,PSENELSAP,0%,Reject,,,
r_ks2,SENELN,0,Reject,,,
r_ks2,PSENELN,0%,Reject,,,
r_ks2,PTFSM6CLA1A_16,15%,Reject,,,
r_ks2,PTNOTFSM6CLA1A_16,85%,Reject,,,
r_ks2,PTRWM_EXP_16,68%,Reject,,,
r_ks2,PTRWM_HIGH_16,10%,Reject,,,
r_ks2,PTRWM_EXP_FSM6CLA1A_16,43%,Reject,,,
r_ks2,PTRWM_EXP_NotFSM6CLA1A_16,72%,Reject,,,
r_ks2,PTRWM_HIGH_FSM6CLA1A_16,0%,Reject,,,
r_ks2,PTRWM_HIGH_NotFSM6CLA1A_16,11%,Reject,,,
r_ks2,READPROG_16,1.6,Reject,,,
r_ks2,READPROG_LOWER_16,0.3,Reject,,,
r_ks2,READPROG_UPPER_16,2.9,Reject,,,
r_ks2,WRITPROG_16,1.2,Reject,,,
r_ks2,WRITPROG_LOWER_16,-0.1,Reject,,,
r_ks2,WRITPROG_UPPER_16,2.5,Reject,,,
r_ks2,MATPROG_16,0.3,Reject,,,
r_ks2,MATPROG_LOWER_16,-0.8,Reject,,,
r_ks2,MATPROG_UPPER_16,1.4,Reject,,,
r_ks2,READ_AVERAGE_16,105,Reject,,,
r_ks2,MAT_AVERAGE_16,104,Reject,,,
r_ks2,PTFSM6CLA1A_17,,Reject,,,
r_ks2,PTNOTFSM6CLA1A_17,,Reject,,,
r_ks2,PTRWM_EXP_17,,Reject,,,
r_ks2,PTRWM_HIGH_17,,Reject,,,
r_ks2,PTRWM_EXP_FSM6CLA1A_17,,Reject,,,
r_ks2,PTRWM_HIGH_FSM6CLA1A_17,,Reject,,,
r_ks2,PTRWM_EXP_NotFSM6CLA1A_17,,Reject,,,
r_ks2,PTRWM_HIGH_NotFSM6CLA1A_17,,Reject,,,
r_ks2,READPROG_17,,Reject,,,
r_ks2,READPROG_LOWER_17,,Reject,,,
r_ks2,READPROG_UPPER_17,,Reject,,,
r_ks2,WRITPROG_17,,Reject,,,
r_ks2,WRITPROG_LOWER_17,,Reject,,,
