la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
85,2020,8,6903,6560,6435,3,5924,368,72,6364,196,0,6246,314
79,2020,8,2904,2644,2588,3,2155,277,84,2516,126,2,2522,120
14,2020,8,1735,1450,1387,3,1291,83,21,1395,52,3,1390,72
15,2020,8,2645,2468,2379,3,2224,127,32,2383,78,7,2387,74
124,2020,8,8130,7571,7028,3,6986,343,45,7374,194,3,7043,525
115,2020,8,3147,2901,2683,3,2419,229,75,2723,173,5,2787,109
116,2020,8,1681,1382,1248,3,1166,120,38,1324,57,1,1337,44
86,2020,8,17372,16078,15874,6,13739,1284,391,15696,381,1,15091,986
81,2020,8,2520,2113,1955,5,1615,202,90,1972,141,0,1857,278
82,2020,8,2257,2463,2358,6,1766,284,114,2253,196,14,2198,251
64,2020,8,1875,1732,1688,3,1581,105,15,1701,31,0,1655,77
77,2020,8,4075,3682,3515,3,3260,197,39,3496,184,2,3325,355
106,2020,8,19168,18007,16893,4,13988,2097,710,17053,948,6,17582,419
91,2020,8,3710,3478,3432,6,2791,379,110,3324,154,0,3336,142
36,2020,8,14771,13872,13554,3,11598,1184,433,13215,632,25,13259,588
16,2020,8,2164,2054,1997,3,1596,255,91,1942,112,0,1934,120
17,2020,8,1455,1538,1330,3,1247,137,29,1413,125,0,1322,216
62,2020,8,9648,9088,9088,4,8250,435,89,8795,293,0,8640,448
57,2020,8,3445,3556,3090,4,2604,372,192,3263,263,30,3134,392
67,2020,8,3186,2862,2825,3,2587,138,37,2762,100,0,2725,137
65,2020,8,2305,2212,2212,4,1758,205,58,2042,170,0,2102,110
18,2020,8,4430,4100,3961,3,3756,166,53,3975,125,0,3927,173
19,2020,8,4129,3561,3524,3,3363,126,37,3526,35,0,3315,246
120,2020,8,6429,5695,5579,3,5419,175,13,5607,81,7,5584,104
35,2020,8,6092,5110,4616,3,4782,221,18,5021,85,4,5093,13
126,2020,8,7622,6574,6128,5,5688,496,110,6334,235,5,6461,182
87,2020,8,15332,13833,13761,4,10876,1478,561,13251,582,0,13359,474
102,2020,8,1387,1166,1017,3,1040,85,12,1137,29,0,1165,1
60,2020,8,9118,7815,7389,3,7057,525,77,7659,155,1,7497,317
88,2020,8,9677,8711,8039,3,8032,400,59,8491,212,8,8527,188
61,2020,8,9298,8666,8518,3,6809,1158,344,8311,349,6,8334,326
7,2020,8,2064,1759,1678,4,1711,42,1,1754,0,5,1709,45
107,2020,8,7554,6711,6359,4,5932,417,105,6484,227,0,6498,213
127,2020,8,4689,4532,4456,3,4235,182,30,4447,60,25,4190,317
89,2020,8,8298,7512,7217,3,6849,350,76,7275,235,2,7329,181
108,2020,8,12428,12031,11844,6,9797,1061,361,11447,584,0,11375,656
76,2020,8,6962,6069,5817,6,4889,588,210,5791,257,21,5865,183
109,2020,8,9633,9112,8645,3,7914,669,268,8851,252,9,8960,143
129,2019,1,30,24,23,6,21,1,1,23,1,0,6,18
130,2019,1,1685,1582,1567,6,1238,120,73,1497,81,4,1387,191
152,2019,1,3881,3644,3606,6,3138,234,96,3541,103,0,3409,235
131,2019,1,2965,2341,2295,6,2032,172,55,2294,47,0,2211,156
132,2019,1,1528,1354,1307,6,1018,150,67,1291,63,0,1259,96
134,2019,1,2280,1954,1954,6,1535,189,72,1875,79,0,1706,248
135,2019,1,1100,808,784,6,531,106,44,727,81,0,749,59
136,2019,1,3500,2887,2867,6,2359,260,93,2795,92,0,2605,282
137,2019,1,3860,3480,3394,6,2909,322,103,3401,0,79,3095,306
139,2019,1,3675,3118,3098,6,2622,227,88,3019,99,0,2904,214
140,2019,1,3720,3111,3095,6,2852,141,39,3052,59,0,3028,83
141,2019,1,3124,3032,2766,6,2287,292,165,2883,149,0,2805,227
142,2019,1,1599,1158,1130,6,1011,77,28,1135,23,0,1030,128
144,2019,1,4064,3264,3207,6,3097,109,22,3237,0,27,3025,212
145,2019,1,4550,4172,4166,6,3556,327,107,4080,92,0,3814,358
146,2019,1,3484,2925,2820,6,2631,189,55,2896,29,0,2784,141
147,2019,1,4213,3602,3550,6,3157,256,75,3522,80,0,3175,427
148,2019,1,4261,3873,3848,6,3353,305,99,3825,47,1,3731,141
